class,tier,tier_weight,support,A_precision,A_recall,A_f1,B_precision,B_recall,B_f1,delta_f1
healthy_rice,healthy,1,45,1.0,1.0,1.0,1.0,1.0,1.0,0.0
healthy_wheat,healthy,1,45,0.9556,0.9556,0.9556,0.9556,0.9556,0.9556,0.0
rice_bacterial_blight,critical,10,45,0.9783,1.0,0.989,0.9783,1.0,0.989,0.0
rice_blast,critical,10,45,0.9362,0.9778,0.9565,0.9362,0.9778,0.9565,0.0
rice_brown_spot,moderate,2,45,1.0,1.0,1.0,1.0,1.0,1.0,0.0
rice_leaf_scald,high,5,45,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0.0
rice_sheath_blight,high,5,45,1.0,1.0,1.0,1.0,1.0,1.0,0.0
wheat_aphid,moderate,2,45,0.9767,0.9333,0.9545,0.9762,0.9111,0.9425,-0.012
wheat_black_rust,critical,10,45,0.875,0.9333,0.9032,0.84,0.9333,0.8842,-0.019
wheat_blast,critical,10,45,0.9556,0.9556,0.9556,0.9773,0.9556,0.9663,0.0107
wheat_brown_rust,high,5,45,0.9268,0.8444,0.8837,0.9268,0.8444,0.8837,0.0
wheat_fusarium_head_blight,critical,10,45,1.0,0.9778,0.9888,1.0,0.9778,0.9888,0.0
wheat_leaf_blight,high,5,45,0.8542,0.9111,0.8817,0.8723,0.9111,0.8913,0.0096
wheat_mite,moderate,2,45,0.9574,1.0,0.9783,0.9375,1.0,0.9677,-0.0106
wheat_powdery_mildew,moderate,2,45,1.0,1.0,1.0,0.9783,1.0,0.989,-0.011
wheat_root_rot,high,5,45,0.9773,0.9556,0.9663,0.9773,0.9556,0.9663,0.0
wheat_septoria,high,5,45,1.0,0.9778,0.9888,1.0,0.9778,0.9888,0.0
wheat_smut,moderate,2,44,0.9556,0.9773,0.9663,0.9556,0.9773,0.9663,0.0
wheat_stem_fly,moderate,2,35,0.9722,1.0,0.9859,0.9722,1.0,0.9859,0.0
wheat_tan_spot,moderate,2,45,0.8889,0.8889,0.8889,0.881,0.8222,0.8506,-0.0383
wheat_yellow_rust,critical,10,45,1.0,0.9778,0.9888,0.9565,0.9778,0.967,-0.0218
MACRO,,,934,0.9624,0.9619,0.9618,0.9581,0.9576,0.9574,-0.0044
